Year,Area_of_Residence,Sex,Age_at_Death,VALUE
2013,Tralee Town,Male,85 years and over,19.0
2013,Tralee Town,Male,All ages,83.0
2013,Tralee Town,Female,Under 1 year,0.0
2013,Tralee Town,Female,1 - 4 years,0.0
2013,Tralee Town,Female,5 - 9 years,0.0
2013,Tralee Town,Female,10 - 14 years,0.0
2013,Tralee Town,Female,15 - 19 years,1.0
2013,Tralee Town,Female,20 - 24 years,0.0
2013,Tralee Town,Female,25 - 29 years,3.0
2013,Tralee Town,Female,30 - 34 years,0.0
2013,Tralee Town,Female,35 - 39 years,0.0
2013,Tralee Town,Female,40 - 44 years,0.0
2013,Tralee Town,Female,45 - 49 years,5.0
2013,Tralee Town,Female,50 - 54 years,2.0
2013,Tralee Town,Female,55 - 59 years,6.0
2013,Tralee Town,Female,60 - 64 years,2.0
2013,Tralee Town,Female,65 - 69 years,6.0
2013,Tralee Town,Female,70 - 74 years,9.0
2013,Tralee Town,Female,75 - 79 years,11.0
2013,Tralee Town,Female,80 - 84 years,12.0
2013,Tralee Town,Female,85 years and over,33.0
2013,Tralee Town,Female,All ages,90.0
2013,Rest of Co. Kerry,Both sexes,Under 1 year,3.0
2013,Rest of Co. Kerry,Both sexes,1 - 4 years,1.0
2013,Rest of Co. Kerry,Both sexes,5 - 9 years,0.0
2013,Rest of Co. Kerry,Both sexes,10 - 14 years,1.0
2013,Rest of Co. Kerry,Both sexes,15 - 19 years,5.0
2013,Rest of Co. Kerry,Both sexes,20 - 24 years,2.0
2013,Rest of Co. Kerry,Both sexes,25 - 29 years,4.0
2013,Rest of Co. Kerry,Both sexes,30 - 34 years,8.0
2013,Rest of Co. Kerry,Both sexes,35 - 39 years,7.0
2013,Rest of Co. Kerry,Both sexes,40 - 44 years,14.0
2013,Rest of Co. Kerry,Both sexes,45 - 49 years,7.0
2013,Rest of Co. Kerry,Both sexes,50 - 54 years,22.0
2013,Rest of Co. Kerry,Both sexes,55 - 59 years,27.0
2013,Rest of Co. Kerry,Both sexes,60 - 64 years,34.0
2013,Rest of Co. Kerry,Both sexes,65 - 69 years,69.0
2013,Rest of Co. Kerry,Both sexes,70 - 74 years,88.0
2013,Rest of Co. Kerry,Both sexes,75 - 79 years,110.0
2013,Rest of Co. Kerry,Both sexes,80 - 84 years,143.0
2013,Rest of Co. Kerry,Both sexes,85 years and over,319.0
2013,Rest of Co. Kerry,Both sexes,All ages,864.0
2013,Rest of Co. Kerry,Male,Under 1 year,2.0
2013,Rest of Co. Kerry,Male,1 - 4 years,1.0
2013,Rest of Co. Kerry,Male,5 - 9 years,0.0
2013,Rest of Co. Kerry,Male,10 - 14 years,1.0
2013,Rest of Co. Kerry,Male,15 - 19 years,5.0
2013,Rest of Co. Kerry,Male,20 - 24 years,1.0
2013,Rest of Co. Kerry,Male,25 - 29 years,3.0
2013,Rest of Co. Kerry,Male,30 - 34 years,6.0
2013,Rest of Co. Kerry,Male,35 - 39 years,4.0
2013,Rest of Co. Kerry,Male,40 - 44 years,9.0
2013,Rest of Co. Kerry,Male,45 - 49 years,4.0
2013,Rest of Co. Kerry,Male,50 - 54 years,10.0
2013,Rest of Co. Kerry,Male,55 - 59 years,20.0
2013,Rest of Co. Kerry,Male,60 - 64 years,22.0
2013,Rest of Co. Kerry,Male,65 - 69 years,54.0
2013,Rest of Co. Kerry,Male,70 - 74 years,59.0
2013,Rest of Co. Kerry,Male,75 - 79 years,71.0
2013,Rest of Co. Kerry,Male,80 - 84 years,80.0
2013,Rest of Co. Kerry,Male,85 years and over,133.0
2013,Rest of Co. Kerry,Male,All ages,485.0
2013,Rest of Co. Kerry,Female,Under 1 year,1.0
2013,Rest of Co. Kerry,Female,1 - 4 years,0.0
2013,Rest of Co. Kerry,Female,5 - 9 years,0.0
2013,Rest of Co. Kerry,Female,10 - 14 years,0.0
2013,Rest of Co. Kerry,Female,15 - 19 years,0.0
2013,Rest of Co. Kerry,Female,20 - 24 years,1.0
2013,Rest of Co. Kerry,Female,25 - 29 years,1.0
2013,Rest of Co. Kerry,Female,30 - 34 years,2.0
2013,Rest of Co. Kerry,Female,35 - 39 years,3.0
2013,Rest of Co. Kerry,Female,40 - 44 years,5.0
2013,Rest of Co. Kerry,Female,45 - 49 years,3.0
2013,Rest of Co. Kerry,Female,50 - 54 years,12.0
2013,Rest of Co. Kerry,Female,55 - 59 years,7.0
2013,Rest of Co. Kerry,Female,60 - 64 years,12.0
2013,Rest of Co. Kerry,Female,65 - 69 years,15.0
2013,Rest of Co. Kerry,Female,70 - 74 years,29.0
2013,Rest of Co. Kerry,Female,75 - 79 years,39.0
2013,Rest of Co. Kerry,Female,80 - 84 years,63.0
2013,Rest of Co. Kerry,Female,85 years and over,186.0
2013,Rest of Co. Kerry,Female,All ages,379.0
2013,Limerick City,Both sexes,Under 1 year,5.0
2013,Limerick City,Both sexes,1 - 4 years,0.0
2013,Limerick City,Both sexes,5 - 9 years,0.0
2013,Limerick City,Both sexes,10 - 14 years,0.0
2013,Limerick City,Both sexes,15 - 19 years,4.0
2013,Limerick City,Both sexes,20 - 24 years,3.0
2013,Limerick City,Both sexes,25 - 29 years,3.0
2013,Limerick City,Both sexes,30 - 34 years,8.0
2013,Limerick City,Both sexes,35 - 39 years,7.0
2013,Limerick City,Both sexes,40 - 44 years,7.0
2013,Limerick City,Both sexes,45 - 49 years,11.0
2013,Limerick City,Both sexes,50 - 54 years,16.0
2013,Limerick City,Both sexes,55 - 59 years,34.0
2013,Limerick City,Both sexes,60 - 64 years,26.0
2013,Limerick City,Both sexes,65 - 69 years,41.0
2013,Limerick City,Both sexes,70 - 74 years,57.0
2013,Limerick City,Both sexes,75 - 79 years,60.0
2013,Limerick City,Both sexes,80 - 84 years,68.0
2013,Limerick City,Both sexes,85 years and over,157.0
2013,Limerick City,Both sexes,All ages,507.0
2013,Limerick City,Male,Under 1 year,2.0
2013,Limerick City,Male,1 - 4 years,0.0
2013,Limerick City,Male,5 - 9 years,0.0
2013,Limerick City,Male,10 - 14 years,0.0
2013,Limerick City,Male,15 - 19 years,1.0
2013,Limerick City,Male,20 - 24 years,2.0
2013,Limerick City,Male,25 - 29 years,3.0
2013,Limerick City,Male,30 - 34 years,5.0
2013,Limerick City,Male,35 - 39 years,5.0
2013,Limerick City,Male,40 - 44 years,6.0
2013,Limerick City,Male,45 - 49 years,6.0
2013,Limerick City,Male,50 - 54 years,8.0
2013,Limerick City,Male,55 - 59 years,23.0
2013,Limerick City,Male,60 - 64 years,14.0
2013,Limerick City,Male,65 - 69 years,24.0
2013,Limerick City,Male,70 - 74 years,31.0
2013,Limerick City,Male,75 - 79 years,34.0
2013,Limerick City,Male,80 - 84 years,28.0
2013,Limerick City,Male,85 years and over,59.0
2013,Limerick City,Male,All ages,251.0
2013,Limerick City,Female,Under 1 year,3.0
2013,Limerick City,Female,1 - 4 years,0.0
2013,Limerick City,Female,5 - 9 years,0.0
2013,Limerick City,Female,10 - 14 years,0.0
2013,Limerick City,Female,15 - 19 years,3.0
2013,Limerick City,Female,20 - 24 years,1.0
2013,Limerick City,Female,25 - 29 years,0.0
2013,Limerick City,Female,30 - 34 years,3.0
2013,Limerick City,Female,35 - 39 years,2.0
2013,Limerick City,Female,40 - 44 years,1.0
2013,Limerick City,Female,45 - 49 years,5.0
2013,Limerick City,Female,50 - 54 years,8.0
2013,Limerick City,Female,55 - 59 years,11.0
2013,Limerick City,Female,60 - 64 years,12.0
2013,Limerick City,Female,65 - 69 years,17.0
2013,Limerick City,Female,70 - 74 years,26.0
2013,Limerick City,Female,75 - 79 years,26.0
2013,Limerick City,Female,80 - 84 years,40.0
2013,Limerick City,Female,85 years and over,98.0
2013,Limerick City,Female,All ages,256.0
2013,Limerick County,Both sexes,Under 1 year,13.0
2013,Limerick County,Both sexes,1 - 4 years,1.0
2013,Limerick County,Both sexes,5 - 9 years,2.0
2013,Limerick County,Both sexes,10 - 14 years,2.0
2013,Limerick County,Both sexes,15 - 19 years,0.0
2013,Limerick County,Both sexes,20 - 24 years,5.0
2013,Limerick County,Both sexes,25 - 29 years,1.0
2013,Limerick County,Both sexes,30 - 34 years,8.0
2013,Limerick County,Both sexes,35 - 39 years,6.0
2013,Limerick County,Both sexes,40 - 44 years,5.0
2013,Limerick County,Both sexes,45 - 49 years,11.0
2013,Limerick County,Both sexes,50 - 54 years,19.0
2013,Limerick County,Both sexes,55 - 59 years,26.0
2013,Limerick County,Both sexes,60 - 64 years,48.0
2013,Limerick County,Both sexes,65 - 69 years,60.0
2013,Limerick County,Both sexes,70 - 74 years,75.0
2013,Limerick County,Both sexes,75 - 79 years,136.0
2013,Limerick County,Both sexes,80 - 84 years,143.0
2013,Limerick County,Both sexes,85 years and over,285.0
2013,Limerick County,Both sexes,All ages,846.0
2013,Limerick County,Male,Under 1 year,9.0
2013,Limerick County,Male,1 - 4 years,1.0
2013,Limerick County,Male,5 - 9 years,0.0
2013,Limerick County,Male,10 - 14 years,1.0
2013,Limerick County,Male,15 - 19 years,0.0
2013,Limerick County,Male,20 - 24 years,3.0
2013,Limerick County,Male,25 - 29 years,0.0
2013,Limerick County,Male,30 - 34 years,2.0
2013,Limerick County,Male,35 - 39 years,4.0
2013,Limerick County,Male,40 - 44 years,3.0
2013,Limerick County,Male,45 - 49 years,7.0
2013,Limerick County,Male,50 - 54 years,11.0
2013,Limerick County,Male,55 - 59 years,14.0
2013,Limerick County,Male,60 - 64 years,30.0
2013,Limerick County,Male,65 - 69 years,43.0
2013,Limerick County,Male,70 - 74 years,49.0
2013,Limerick County,Male,75 - 79 years,81.0
2013,Limerick County,Male,80 - 84 years,77.0
2013,Limerick County,Male,85 years and over,106.0
2013,Limerick County,Male,All ages,441.0
2013,Limerick County,Female,Under 1 year,4.0
2013,Limerick County,Female,1 - 4 years,0.0
2013,Limerick County,Female,5 - 9 years,2.0
2013,Limerick County,Female,10 - 14 years,1.0
2013,Limerick County,Female,15 - 19 years,0.0
2013,Limerick County,Female,20 - 24 years,2.0
2013,Limerick County,Female,25 - 29 years,1.0
2013,Limerick County,Female,30 - 34 years,6.0
2013,Limerick County,Female,35 - 39 years,2.0
2013,Limerick County,Female,40 - 44 years,2.0
2013,Limerick County,Female,45 - 49 years,4.0
2013,Limerick County,Female,50 - 54 years,8.0
2013,Limerick County,Female,55 - 59 years,12.0
2013,Limerick County,Female,60 - 64 years,18.0
2013,Limerick County,Female,65 - 69 years,17.0
2013,Limerick County,Female,70 - 74 years,26.0
2013,Limerick County,Female,75 - 79 years,55.0
2013,Limerick County,Female,80 - 84 years,66.0
2013,Limerick County,Female,85 years and over,179.0
2013,Limerick County,Female,All ages,405.0
2013,North Tipperary,Both sexes,Under 1 year,7.0
2013,North Tipperary,Both sexes,1 - 4 years,0.0
2013,North Tipperary,Both sexes,5 - 9 years,1.0
2013,North Tipperary,Both sexes,10 - 14 years,2.0
2013,North Tipperary,Both sexes,15 - 19 years,3.0
2013,North Tipperary,Both sexes,20 - 24 years,6.0
2013,North Tipperary,Both sexes,25 - 29 years,4.0
2013,North Tipperary,Both sexes,30 - 34 years,4.0
2013,North Tipperary,Both sexes,35 - 39 years,1.0
2013,North Tipperary,Both sexes,40 - 44 years,5.0
2013,North Tipperary,Both sexes,45 - 49 years,10.0
2013,North Tipperary,Both sexes,50 - 54 years,14.0
2013,North Tipperary,Both sexes,55 - 59 years,17.0
2013,North Tipperary,Both sexes,60 - 64 years,23.0
2013,North Tipperary,Both sexes,65 - 69 years,53.0
2013,North Tipperary,Both sexes,70 - 74 years,51.0
2013,North Tipperary,Both sexes,75 - 79 years,59.0
2013,North Tipperary,Both sexes,80 - 84 years,96.0
2013,North Tipperary,Both sexes,85 years and over,189.0
2013,North Tipperary,Both sexes,All ages,545.0
2013,North Tipperary,Male,Under 1 year,3.0
2013,North Tipperary,Male,1 - 4 years,0.0
2013,North Tipperary,Male,5 - 9 years,0.0
2013,North Tipperary,Male,10 - 14 years,0.0
2013,North Tipperary,Male,15 - 19 years,2.0
2013,North Tipperary,Male,20 - 24 years,6.0
2013,North Tipperary,Male,25 - 29 years,3.0
2013,North Tipperary,Male,30 - 34 years,3.0
2013,North Tipperary,Male,35 - 39 years,1.0
2013,North Tipperary,Male,40 - 44 years,2.0
2013,North Tipperary,Male,45 - 49 years,7.0
2013,North Tipperary,Male,50 - 54 years,9.0
2013,North Tipperary,Male,55 - 59 years,10.0
2013,North Tipperary,Male,60 - 64 years,13.0
2013,North Tipperary,Male,65 - 69 years,35.0
2013,North Tipperary,Male,70 - 74 years,32.0
2013,North Tipperary,Male,75 - 79 years,36.0
2013,North Tipperary,Male,80 - 84 years,51.0
2013,North Tipperary,Male,85 years and over,63.0
2013,North Tipperary,Male,All ages,276.0
2013,North Tipperary,Female,Under 1 year,4.0
2013,North Tipperary,Female,1 - 4 years,0.0
2013,North Tipperary,Female,5 - 9 years,1.0
2013,North Tipperary,Female,10 - 14 years,2.0
2013,North Tipperary,Female,15 - 19 years,1.0
2013,North Tipperary,Female,20 - 24 years,0.0
2013,North Tipperary,Female,25 - 29 years,1.0
2013,North Tipperary,Female,30 - 34 years,1.0
2013,North Tipperary,Female,35 - 39 years,0.0
2013,North Tipperary,Female,40 - 44 years,3.0
2013,North Tipperary,Female,45 - 49 years,3.0
2013,North Tipperary,Female,50 - 54 years,5.0
2013,North Tipperary,Female,55 - 59 years,7.0
2013,North Tipperary,Female,60 - 64 years,10.0
2013,North Tipperary,Female,65 - 69 years,18.0
2013,North Tipperary,Female,70 - 74 years,19.0
2013,North Tipperary,Female,75 - 79 years,23.0
2013,North Tipperary,Female,80 - 84 years,45.0
2013,North Tipperary,Female,85 years and over,126.0
2013,North Tipperary,Female,All ages,269.0
2013,Nenagh Town,Both sexes,Under 1 year,2.0
2013,Nenagh Town,Both sexes,1 - 4 years,0.0
2013,Nenagh Town,Both sexes,5 - 9 years,1.0
2013,Nenagh Town,Both sexes,10 - 14 years,0.0
2013,Nenagh Town,Both sexes,15 - 19 years,0.0
2013,Nenagh Town,Both sexes,20 - 24 years,1.0
2013,Nenagh Town,Both sexes,25 - 29 years,1.0
2013,Nenagh Town,Both sexes,30 - 34 years,0.0
2013,Nenagh Town,Both sexes,35 - 39 years,0.0
2013,Nenagh Town,Both sexes,40 - 44 years,1.0
2013,Nenagh Town,Both sexes,45 - 49 years,2.0
2013,Nenagh Town,Both sexes,50 - 54 years,1.0
2013,Nenagh Town,Both sexes,55 - 59 years,2.0
2013,Nenagh Town,Both sexes,60 - 64 years,0.0
2013,Nenagh Town,Both sexes,65 - 69 years,8.0
2013,Nenagh Town,Both sexes,70 - 74 years,7.0
2013,Nenagh Town,Both sexes,75 - 79 years,8.0
2013,Nenagh Town,Both sexes,80 - 84 years,18.0
2013,Nenagh Town,Both sexes,85 years and over,15.0
2013,Nenagh Town,Both sexes,All ages,67.0
2013,Nenagh Town,Male,Under 1 year,1.0
2013,Nenagh Town,Male,1 - 4 years,0.0
2013,Nenagh Town,Male,5 - 9 years,0.0
2013,Nenagh Town,Male,10 - 14 years,0.0
2013,Nenagh Town,Male,15 - 19 years,0.0
2013,Nenagh Town,Male,20 - 24 years,1.0
2013,Nenagh Town,Male,25 - 29 years,0.0
2013,Nenagh Town,Male,30 - 34 years,0.0
2013,Nenagh Town,Male,35 - 39 years,0.0
2013,Nenagh Town,Male,40 - 44 years,0.0
2013,Nenagh Town,Male,45 - 49 years,1.0
2013,Nenagh Town,Male,50 - 54 years,1.0
2013,Nenagh Town,Male,55 - 59 years,1.0
2013,Nenagh Town,Male,60 - 64 years,0.0
2013,Nenagh Town,Male,65 - 69 years,6.0
2013,Nenagh Town,Male,70 - 74 years,4.0
2013,Nenagh Town,Male,75 - 79 years,6.0
2013,Nenagh Town,Male,80 - 84 years,10.0
2013,Nenagh Town,Male,85 years and over,2.0
2013,Nenagh Town,Male,All ages,33.0
2013,Nenagh Town,Female,Under 1 year,1.0
2013,Nenagh Town,Female,1 - 4 years,0.0
2013,Nenagh Town,Female,5 - 9 years,1.0
2013,Nenagh Town,Female,10 - 14 years,0.0
2013,Nenagh Town,Female,15 - 19 years,0.0
2013,Nenagh Town,Female,20 - 24 years,0.0
2013,Nenagh Town,Female,25 - 29 years,1.0
2013,Nenagh Town,Female,30 - 34 years,0.0
2013,Nenagh Town,Female,35 - 39 years,0.0
2013,Nenagh Town,Female,40 - 44 years,1.0
2013,Nenagh Town,Female,45 - 49 years,1.0
2013,Nenagh Town,Female,50 - 54 years,0.0
2013,Nenagh Town,Female,55 - 59 years,1.0
2013,Nenagh Town,Female,60 - 64 years,0.0
2013,Nenagh Town,Female,65 - 69 years,2.0
2013,Nenagh Town,Female,70 - 74 years,3.0
2013,Nenagh Town,Female,75 - 79 years,2.0
2013,Nenagh Town,Female,80 - 84 years,8.0
2013,Nenagh Town,Female,85 years and over,13.0
2013,Nenagh Town,Female,All ages,34.0
2013,Templemore Town,Both sexes,Under 1 year,1.0
2013,Templemore Town,Both sexes,1 - 4 years,0.0
2013,Templemore Town,Both sexes,5 - 9 years,0.0
2013,Templemore Town,Both sexes,10 - 14 years,0.0
2013,Templemore Town,Both sexes,15 - 19 years,0.0
2013,Templemore Town,Both sexes,20 - 24 years,0.0
2013,Templemore Town,Both sexes,25 - 29 years,0.0
2013,Templemore Town,Both sexes,30 - 34 years,0.0
2013,Templemore Town,Both sexes,35 - 39 years,0.0
2013,Templemore Town,Both sexes,40 - 44 years,1.0
2013,Templemore Town,Both sexes,45 - 49 years,0.0
2013,Templemore Town,Both sexes,50 - 54 years,0.0
2013,Templemore Town,Both sexes,55 - 59 years,0.0
2013,Templemore Town,Both sexes,60 - 64 years,1.0
2013,Templemore Town,Both sexes,65 - 69 years,2.0
2013,Templemore Town,Both sexes,70 - 74 years,4.0
2013,Templemore Town,Both sexes,75 - 79 years,1.0
2013,Templemore Town,Both sexes,80 - 84 years,2.0
2013,Templemore Town,Both sexes,85 years and over,7.0
2013,Templemore Town,Both sexes,All ages,19.0
2013,Templemore Town,Male,Under 1 year,1.0
2013,Templemore Town,Male,1 - 4 years,0.0
2013,Templemore Town,Male,5 - 9 years,0.0
2013,Templemore Town,Male,10 - 14 years,0.0
2013,Templemore Town,Male,15 - 19 years,0.0
2013,Templemore Town,Male,20 - 24 years,0.0
2013,Templemore Town,Male,25 - 29 years,0.0
2013,Templemore Town,Male,30 - 34 years,0.0
2013,Templemore Town,Male,35 - 39 years,0.0
2013,Templemore Town,Male,40 - 44 years,0.0
2013,Templemore Town,Male,45 - 49 years,0.0
2013,Templemore Town,Male,50 - 54 years,0.0
2013,Templemore Town,Male,55 - 59 years,0.0
2013,Templemore Town,Male,60 - 64 years,0.0
2013,Templemore Town,Male,65 - 69 years,1.0
2013,Templemore Town,Male,70 - 74 years,2.0
2013,Templemore Town,Male,75 - 79 years,0.0
2013,Templemore Town,Male,80 - 84 years,1.0
2013,Templemore Town,Male,85 years and over,3.0
2013,Templemore Town,Male,All ages,8.0
2013,Templemore Town,Female,Under 1 year,0.0
2013,Templemore Town,Female,1 - 4 years,0.0
2013,Templemore Town,Female,5 - 9 years,0.0
2013,Templemore Town,Female,10 - 14 years,0.0
2013,Templemore Town,Female,15 - 19 years,0.0
2013,Templemore Town,Female,20 - 24 years,0.0
2013,Templemore Town,Female,25 - 29 years,0.0
2013,Templemore Town,Female,30 - 34 years,0.0
2013,Templemore Town,Female,35 - 39 years,0.0
2013,Templemore Town,Female,40 - 44 years,1.0
2013,Templemore Town,Female,45 - 49 years,0.0
2013,Templemore Town,Female,50 - 54 years,0.0
2013,Templemore Town,Female,55 - 59 years,0.0
2013,Templemore Town,Female,60 - 64 years,1.0
2013,Templemore Town,Female,65 - 69 years,1.0
2013,Templemore Town,Female,70 - 74 years,2.0
2013,Templemore Town,Female,75 - 79 years,1.0
2013,Templemore Town,Female,80 - 84 years,1.0
2013,Templemore Town,Female,85 years and over,4.0
2013,Templemore Town,Female,All ages,11.0
2013,Thurles Town,Both sexes,Under 1 year,0.0
2013,Thurles Town,Both sexes,1 - 4 years,0.0
2013,Thurles Town,Both sexes,5 - 9 years,0.0
2013,Thurles Town,Both sexes,10 - 14 years,0.0
2013,Thurles Town,Both sexes,15 - 19 years,1.0
2013,Thurles Town,Both sexes,20 - 24 years,1.0
2013,Thurles Town,Both sexes,25 - 29 years,0.0
2013,Thurles Town,Both sexes,30 - 34 years,0.0
2013,Thurles Town,Both sexes,35 - 39 years,0.0
2013,Thurles Town,Both sexes,40 - 44 years,0.0
2013,Thurles Town,Both sexes,45 - 49 years,0.0
2013,Thurles Town,Both sexes,50 - 54 years,1.0
2013,Thurles Town,Both sexes,55 - 59 years,7.0
2013,Thurles Town,Both sexes,60 - 64 years,5.0
2013,Thurles Town,Both sexes,65 - 69 years,5.0
2013,Thurles Town,Both sexes,70 - 74 years,5.0
2013,Thurles Town,Both sexes,75 - 79 years,11.0
2013,Thurles Town,Both sexes,80 - 84 years,17.0
2013,Thurles Town,Both sexes,85 years and over,26.0
2013,Thurles Town,Both sexes,All ages,79.0
2013,Thurles Town,Male,Under 1 year,0.0
2013,Thurles Town,Male,1 - 4 years,0.0
2013,Thurles Town,Male,5 - 9 years,0.0
2013,Thurles Town,Male,10 - 14 years,0.0
2013,Thurles Town,Male,15 - 19 years,0.0
2013,Thurles Town,Male,20 - 24 years,1.0
2013,Thurles Town,Male,25 - 29 years,0.0
2013,Thurles Town,Male,30 - 34 years,0.0
2013,Thurles Town,Male,35 - 39 years,0.0
2013,Thurles Town,Male,40 - 44 years,0.0
2013,Thurles Town,Male,45 - 49 years,0.0
2013,Thurles Town,Male,50 - 54 years,0.0
2013,Thurles Town,Male,55 - 59 years,4.0
2013,Thurles Town,Male,60 - 64 years,3.0
2013,Thurles Town,Male,65 - 69 years,4.0
2013,Thurles Town,Male,70 - 74 years,3.0
2013,Thurles Town,Male,75 - 79 years,5.0
2013,Thurles Town,Male,80 - 84 years,8.0
2013,Thurles Town,Male,85 years and over,4.0
2013,Thurles Town,Male,All ages,32.0
2013,Thurles Town,Female,Under 1 year,0.0
2013,Thurles Town,Female,1 - 4 years,0.0
2013,Thurles Town,Female,5 - 9 years,0.0
2013,Thurles Town,Female,10 - 14 years,0.0
2013,Thurles Town,Female,15 - 19 years,1.0
2013,Thurles Town,Female,20 - 24 years,0.0
2013,Thurles Town,Female,25 - 29 years,0.0
2013,Thurles Town,Female,30 - 34 years,0.0
2013,Thurles Town,Female,35 - 39 years,0.0
2013,Thurles Town,Female,40 - 44 years,0.0
2013,Thurles Town,Female,45 - 49 years,0.0
2013,Thurles Town,Female,50 - 54 years,1.0
2013,Thurles Town,Female,55 - 59 years,3.0
2013,Thurles Town,Female,60 - 64 years,2.0
2013,Thurles Town,Female,65 - 69 years,1.0
2013,Thurles Town,Female,70 - 74 years,2.0
2013,Thurles Town,Female,75 - 79 years,6.0
2013,Thurles Town,Female,80 - 84 years,9.0
2013,Thurles Town,Female,85 years and over,22.0
2013,Thurles Town,Female,All ages,47.0
2013,Rest of North Tipperary,Both sexes,Under 1 year,4.0
2013,Rest of North Tipperary,Both sexes,1 - 4 years,0.0
2013,Rest of North Tipperary,Both sexes,5 - 9 years,0.0
2013,Rest of North Tipperary,Both sexes,10 - 14 years,2.0
2013,Rest of North Tipperary,Both sexes,15 - 19 years,2.0
2013,Rest of North Tipperary,Both sexes,20 - 24 years,4.0
2013,Rest of North Tipperary,Both sexes,25 - 29 years,3.0
2013,Rest of North Tipperary,Both sexes,30 - 34 years,4.0
2013,Rest of North Tipperary,Both sexes,35 - 39 years,1.0
2013,Rest of North Tipperary,Both sexes,40 - 44 years,3.0
2013,Rest of North Tipperary,Both sexes,45 - 49 years,8.0
2013,Rest of North Tipperary,Both sexes,50 - 54 years,12.0
2013,Rest of North Tipperary,Both sexes,55 - 59 years,8.0
2013,Rest of North Tipperary,Both sexes,60 - 64 years,17.0
2013,Rest of North Tipperary,Both sexes,65 - 69 years,38.0
2013,Rest of North Tipperary,Both sexes,70 - 74 years,35.0
2013,Rest of North Tipperary,Both sexes,75 - 79 years,39.0
2013,Rest of North Tipperary,Both sexes,80 - 84 years,59.0
2013,Rest of North Tipperary,Both sexes,85 years and over,141.0
2013,Rest of North Tipperary,Both sexes,All ages,380.0
2013,Rest of North Tipperary,Male,Under 1 year,1.0
2013,Rest of North Tipperary,Male,1 - 4 years,0.0
2013,Rest of North Tipperary,Male,5 - 9 years,0.0
2013,Rest of North Tipperary,Male,10 - 14 years,0.0
2013,Rest of North Tipperary,Male,15 - 19 years,2.0
2013,Rest of North Tipperary,Male,20 - 24 years,4.0
2013,Rest of North Tipperary,Male,25 - 29 years,3.0
2013,Rest of North Tipperary,Male,30 - 34 years,3.0
2013,Rest of North Tipperary,Male,35 - 39 years,1.0
2013,Rest of North Tipperary,Male,40 - 44 years,2.0
2013,Rest of North Tipperary,Male,45 - 49 years,6.0
2013,Rest of North Tipperary,Male,50 - 54 years,8.0
2013,Rest of North Tipperary,Male,55 - 59 years,5.0
2013,Rest of North Tipperary,Male,60 - 64 years,10.0
2013,Rest of North Tipperary,Male,65 - 69 years,24.0
2013,Rest of North Tipperary,Male,70 - 74 years,23.0
2013,Rest of North Tipperary,Male,75 - 79 years,25.0
2013,Rest of North Tipperary,Male,80 - 84 years,32.0
2013,Rest of North Tipperary,Male,85 years and over,54.0
2013,Rest of North Tipperary,Male,All ages,203.0
2013,Rest of North Tipperary,Female,Under 1 year,3.0
2013,Rest of North Tipperary,Female,1 - 4 years,0.0
2013,Rest of North Tipperary,Female,5 - 9 years,0.0
2013,Rest of North Tipperary,Female,10 - 14 years,2.0
2013,Rest of North Tipperary,Female,15 - 19 years,0.0
2013,Rest of North Tipperary,Female,20 - 24 years,0.0
2013,Rest of North Tipperary,Female,25 - 29 years,0.0
2013,Rest of North Tipperary,Female,30 - 34 years,1.0
2013,Rest of North Tipperary,Female,35 - 39 years,0.0
2013,Rest of North Tipperary,Female,40 - 44 years,1.0
2013,Rest of North Tipperary,Female,45 - 49 years,2.0
2013,Rest of North Tipperary,Female,50 - 54 years,4.0
2013,Rest of North Tipperary,Female,55 - 59 years,3.0
2013,Rest of North Tipperary,Female,60 - 64 years,7.0
2013,Rest of North Tipperary,Female,65 - 69 years,14.0
2013,Rest of North Tipperary,Female,70 - 74 years,12.0
2013,Rest of North Tipperary,Female,75 - 79 years,14.0
2013,Rest of North Tipperary,Female,80 - 84 years,27.0
2013,Rest of North Tipperary,Female,85 years and over,87.0
2013,Rest of North Tipperary,Female,All ages,177.0
2013,South Tipperary,Both sexes,Under 1 year,2.0
2013,South Tipperary,Both sexes,1 - 4 years,1.0
2013,South Tipperary,Both sexes,5 - 9 years,1.0
2013,South Tipperary,Both sexes,10 - 14 years,0.0
2013,South Tipperary,Both sexes,15 - 19 years,2.0
2013,South Tipperary,Both sexes,20 - 24 years,2.0
2013,South Tipperary,Both sexes,25 - 29 years,1.0
2013,South Tipperary,Both sexes,30 - 34 years,4.0
2013,South Tipperary,Both sexes,35 - 39 years,8.0
2013,South Tipperary,Both sexes,40 - 44 years,2.0
2013,South Tipperary,Both sexes,45 - 49 years,18.0
2013,South Tipperary,Both sexes,50 - 54 years,20.0
2013,South Tipperary,Both sexes,55 - 59 years,23.0
2013,South Tipperary,Both sexes,60 - 64 years,47.0
2013,South Tipperary,Both sexes,65 - 69 years,66.0
2013,South Tipperary,Both sexes,70 - 74 years,56.0
2013,South Tipperary,Both sexes,75 - 79 years,95.0
2013,South Tipperary,Both sexes,80 - 84 years,115.0
2013,South Tipperary,Both sexes,85 years and over,270.0
2013,South Tipperary,Both sexes,All ages,733.0
2013,South Tipperary,Male,Under 1 year,1.0
2013,South Tipperary,Male,1 - 4 years,1.0
2013,South Tipperary,Male,5 - 9 years,1.0
